Title,Subtitle,Price,URL,Bedrooms,Review_rating,Superhost,Check_in,Check_out,Competitor,Livinparis,Listing_id
Loft in Paris,Loft Canal Saint Martin,€ 943 total,https://www.airbnb.comwww.airbnb.com/rooms/1054838?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141290_GA8cy6GZ0I0myfFj&previous_page_section_name=1000,2,4.76 (56),Superhost,2024-10-04,2024-10-06,No,No,1054838
Apartment in Temple,Wonderful Apartment Terrace Center of Paris,"€ 1,704 total",https://www.airbnb.comwww.airbnb.com/rooms/1070848488130837631?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141290_qJAgM%2BB7FgACmp41&previous_page_section_name=1000,2,4.91 (11),N/A,2024-10-04,2024-10-06,No,No,1070848488130837631
Apartment in Bonne-Nouvelle,2 BDR in the center of PARIS,€ 929 total,https://www.airbnb.comwww.airbnb.com/rooms/38798785?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141290_rL81D3D3dtGVUoXQ&previous_page_section_name=1000,2,4.75 (56),N/A,2024-10-04,2024-10-06,Yes,No,38798785
Apartment in Opéra,Great Studio,"€ 1,283 total",https://www.airbnb.comwww.airbnb.com/rooms/947832637537672144?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141290_f15O4wR7xcFKHan%2F&previous_page_section_name=1000,2,4.89 (27),N/A,2024-10-04,2024-10-06,No,No,947832637537672144
Apartment in Bonne-Nouvelle,LivinParis | Luxury 2 Bedrooms Grand-Boulevard II,"€ 1,301 total",https://www.airbnb.comwww.airbnb.com/rooms/12584603?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141290_FBOQ4flb%2F%2FH0ke6j&previous_page_section_name=1000,2,4.61 (286),N/A,2024-10-04,2024-10-06,No,Yes,12584603
Apartment in L'Europe,Family apartment,"€ 2,167 total",https://www.airbnb.comwww.airbnb.com/rooms/833963940349663276?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141290_msggyK4qmSF8%2FQv6&previous_page_section_name=1000,2,5.0 (33),Guest favorite,2024-10-04,2024-10-06,Yes,No,833963940349663276
Apartment in Bonne-Nouvelle,Luxury central 3 bedrooms flat Grands Boulevards,"€ 1,570 total",https://www.airbnb.comwww.airbnb.com/rooms/751953833448138766?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141290_nPpy4axO0Z7RnaUI&previous_page_section_name=1000,2,4.41 (34),N/A,2024-10-04,2024-10-06,No,No,751953833448138766
Apartment in Buttes-Montmartre,Apartment Quartier Montmartre 60 m2,€ 698 total,https://www.airbnb.comwww.airbnb.com/rooms/1102640311121054236?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141290_Pi%2Bg1KdqOEs30hgi&previous_page_section_name=1000,2,4.82 (11),N/A,2024-10-04,2024-10-06,No,No,1102640311121054236
Apartment in Temple,Parisian Life in a Stylish Flat in Le Marais,"€ 1,219 total",https://www.airbnb.comwww.airbnb.com/rooms/1137468483570152642?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141290_xRSyLsf3QvTUnZsu&previous_page_section_name=1000,2,New,N/A,2024-10-04,2024-10-06,No,No,1137468483570152642
Apartment in Temple,Central and colorful 3 bedroom apartment Paris,"€ 1,750 total",https://www.airbnb.comwww.airbnb.com/rooms/1148428205912356420?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141290_zI39gDncjrSjQh9H&previous_page_section_name=1000,2,New,N/A,2024-10-04,2024-10-06,No,No,1148428205912356420
Apartment in Opéra,A Warm and Beautiful Paris Home!,"€ 1,157 total",https://www.airbnb.comwww.airbnb.com/rooms/778304384913075049?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141298_lNTdWOTV84YTs6mo&previous_page_section_name=1000,2,4.94 (16),Guest favorite,2024-10-04,2024-10-06,No,No,778304384913075049
Apartment in Temple,Sublime appartement luxe Paris Haut-Marais AC,"€ 1,637 total",https://www.airbnb.comwww.airbnb.com/rooms/1119349063025510979?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141298_419OBcB0NjQcB0u8&previous_page_section_name=1000,2,New,N/A,2024-10-04,2024-10-06,No,No,1119349063025510979
Apartment in Bonne-Nouvelle,Wonderful luxury flat center of Paris,"€ 1,253 total",https://www.airbnb.comwww.airbnb.com/rooms/1014349750273680883?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141298_NJZ89704KyHJhzr7&previous_page_section_name=1000,2,4.5 (14),N/A,2024-10-04,2024-10-06,No,No,1014349750273680883
Apartment in Palais-Royal,Live the True Parisian Experience near The Louvre,"€ 1,378 total",https://www.airbnb.comwww.airbnb.com/rooms/1087647685540952579?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141298_RFX3creyOBYWSEyq&previous_page_section_name=1000,2,4.43 (14),N/A,2024-10-04,2024-10-06,No,No,1087647685540952579
Apartment in Les Halles,"Comfy, quiet and near Louvre museum","€ 1,688 total",https://www.airbnb.comwww.airbnb.com/rooms/12541479?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141298_oEVPRqPNBTNDKzz6&previous_page_section_name=1000,2,4.9 (483),Guest favorite,2024-10-04,2024-10-06,No,No,12541479
Apartment in Latin Quarter,"Heart of the Latin Quarter, quiet loft with AC","€ 1,004 total",https://www.airbnb.comwww.airbnb.com/rooms/43560241?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141298_1JB9pSqnunPCMAqx&previous_page_section_name=1000,2,4.92 (249),Guest favorite,2024-10-04,2024-10-06,No,No,43560241
Apartment in Temple,Family courtyard apartment - in the heart of Paris,"€ 1,804 total",https://www.airbnb.comwww.airbnb.com/rooms/701658963698372565?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141298_V6hkzH9mnTBJk92b&previous_page_section_name=1000,2,4.84 (79),Superhost,2024-10-04,2024-10-06,No,No,701658963698372565
Apartment in Opéra,Paris Appartement loft Montmartre Pigalle,€ 914 total,https://www.airbnb.comwww.airbnb.com/rooms/671874052190938227?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141298_eCrwnZ7avH%2F7VnaU&previous_page_section_name=1000,2,4.9 (91),Guest favorite,2024-10-04,2024-10-06,No,No,671874052190938227
